ln_a,Q,H,Q_prime,H_prime,D_s,Xi_s,W_s,scaled_constraint_residual
2.676755170605578382e-02,1.151983590414844105e+00,1.222119246045545893e+00,-6.653731572396380523e-02,-5.174107975933980308e-01,2.371114451906770171e+01,2.459398253906346810e+01,1.560464580631406584e+00,2.435374033349768495e-14
2.705537484268003695e-02,1.151964441537770778e+00,1.221970377538847741e+00,-6.652271310086026179e-02,-5.170335801600685066e-01,2.369321896743855760e+01,2.457608278305895055e+01,1.560168622996470855e+00,2.861969982330896466e-14
2.734319797930429355e-02,1.151945296861579315e+00,1.221821617567858675e+00,-6.650812495838320793e-02,-5.166566142028878872e-01,2.367530335228275007e+01,2.455819293676735171e+01,1.559872893221458057e+00,1.977931873433731497e-14
2.763102111592855015e-02,1.151926156382107713e+00,1.221672966060217025e+00,-6.649355129530119812e-02,-5.162798996020128151e-01,2.365739766838926528e+01,2.454031299500508112e+01,1.559577391149698622e+00,1.476698097131384687e-14
2.791884425255280675e-02,1.151907020095192857e+00,1.221524422943595978e+00,-6.647899211041713441e-02,-5.159034362376239136e-01,2.363950191054043160e+01,2.452244295258187279e+01,1.559282116624605807e+00,2.242925938261846250e-14
2.820666738917706334e-02,1.151887887996662085e+00,1.221375988145698699e+00,-6.646444740254166261e-02,-5.155272239899150177e-01,2.362161607352177128e+01,2.450458280431063329e+01,1.558987069489675692e+00,3.194931700610219449e-14
2.849449052580131647e-02,1.151868760082352061e+00,1.221227661594266767e+00,-6.644991717051175473e-02,-5.151512627391030552e-01,2.360374015211511889e+01,2.448673254500055307e+01,1.558692249588490508e+00,2.488284534248199236e-14
2.878231366242557307e-02,1.151849636348095451e+00,1.221079443217073734e+00,-6.643540141315514014e-02,-5.147755523654127252e-01,2.358587414111184088e+01,2.446889216947031898e+01,1.558397656764719530e+00,1.773585952586279168e-14
2.907013679904982967e-02,1.151830516789728698e+00,1.220931332941930236e+00,-6.642090012931994858e-02,-5.144000927490883779e-01,2.356801803530184358e+01,2.445106167253713281e+01,1.558103290862118850e+00,1.813280403756935625e-14
2.935795993567408280e-02,1.151811401403082469e+00,1.220783330696677771e+00,-6.640641331785818169e-02,-5.140248837703870199e-01,2.355017182947968735e+01,2.443324104902282556e+01,1.557809151724527830e+00,3.358285128031958803e-14
2.964578307229833939e-02,1.151792290183991874e+00,1.220635436409194918e+00,-6.639194097766541736e-02,-5.136499253095947459e-01,2.353233551842990678e+01,2.441543029373917406e+01,1.557515239195869317e+00,1.031301098704703778e-14
2.993360620892259599e-02,1.151773183128296685e+00,1.220487650007395564e+00,-6.637748310759908343e-02,-5.132752172469957630e-01,2.351450909695725144e+01,2.439762940151813098e+01,1.557221553120159196e+00,2.094436269452825616e-14
3.022142934554685259e-02,1.151754080231826016e+00,1.220339971419224456e+00,-6.636303970657067564e-02,-5.129007594629050315e-01,2.349669255985261529e+01,2.437983836717778274e+01,1.556928093341490182e+00,1.059186303905493315e-14
3.050925248217110919e-02,1.151734981490419862e+00,1.220192400572664093e+00,-6.634861077347539715e-02,-5.125265518376448393e-01,2.347888590191899638e+01,2.436205718554827726e+01,1.556634859704047136e+00,1.770768684499736223e-14
3.079707561879536232e-02,1.151715886899912222e+00,1.220044937395729390e+00,-6.633419630723197402e-02,-5.121525942515575691e-01,2.346108911795681351e+01,2.434428585145716539e+01,1.556341852052096630e+00,3.617021951305407062e-14
3.108489875541961892e-02,1.151696796456138205e+00,1.219897581816470788e+00,-6.631979630679685211e-02,-5.117788865850121383e-01,2.344330220275869792e+01,2.432652435972418203e+01,1.556049070229988729e+00,4.388329559703174653e-15
3.137272189204387551e-02,1.151677710154937806e+00,1.219750333762973371e+00,-6.630541077107011960e-02,-5.114054287183689151e-01,2.342552515114424949e+01,2.430877270519598810e+01,1.555756514082168085e+00,2.708401270010578940e-14
3.166054502866812864e-02,1.151658627992144579e+00,1.219603193163355526e+00,-6.629103969903533955e-02,-5.110322205320306788e-01,2.340775795790829861e+01,2.429103088269446786e+01,1.555464183453153737e+00,2.795683521443591494e-14
3.194836816529238871e-02,1.151639549963597187e+00,1.219456159945770946e+00,-6.627668308965381505e-02,-5.106592619064053151e-01,2.339000061786011031e+01,2.427329888705590122e+01,1.555172078187556650e+00,2.167181484205049772e-14
3.223619130191664184e-02,1.151620476065133625e+00,1.219309234038407741e+00,-6.626234094189702162e-02,-5.102865527219162534e-01,2.337225312581130510e+01,2.425557671311889862e+01,1.554880198130071278e+00,2.321661659043865044e-14
3.252401443854089497e-02,1.151601406292589225e+00,1.219162415369487329e+00,-6.624801325476072089e-02,-5.099140928590080168e-01,2.335451547657069327e+01,2.423786435571922837e+01,1.554588543125477118e+00,1.234131683043934555e-14
3.281183757516515503e-02,1.151582340641803759e+00,1.219015703867267097e+00,-6.623370002724299210e-02,-5.095418821981387847e-01,2.333678766495238932e+01,2.422016180969793808e+01,1.554297113018639820e+00,5.142760677882069443e-16
3.309966071178940816e-02,1.151563279108615667e+00,1.218869099460037964e+00,-6.621940125835747148e-02,-5.091699206197852767e-01,2.331906968577093764e+01,2.420246906989647684e+01,1.554005907654509855e+00,1.167134770564785856e-14
3.338748384841366823e-02,1.151544221688866054e+00,1.218722602076126371e+00,-6.620511694711601891e-02,-5.087982080044353150e-01,2.330136153384767539e+01,2.418478613116305809e+01,1.553714926878125402e+00,1.183085642168851947e-14
3.367530698503792136e-02,1.151525168378391140e+00,1.218576211643891405e+00,-6.619084709257816446e-02,-5.084267442326076969e-01,2.328366320399254263e+01,2.416711298833447685e+01,1.553424170534603910e+00,1.337542758882288082e-14
3.396313012166217449e-02,1.151506119173026477e+00,1.218429928091725900e+00,-6.617659169378470319e-02,-5.080555291848247723e-01,2.326597469102861027e+01,2.414944963626062702e+01,1.553133638469151645e+00,7.123762514228115535e-16
3.425095325828643456e-02,1.151487074068618721e+00,1.218283751348061328e+00,-6.616235074979112674e-02,-5.076845627416304296e-01,2.324829598977963130e+01,2.413179606979204905e+01,1.552843330527062360e+00,7.084935275347521993e-15
3.453877639491068768e-02,1.151468033061000984e+00,1.218137681341357803e+00,-6.614812425967139808e-02,-5.073138447835844334e-01,2.323062709506880452e+01,2.411415228377871500e+01,1.552553246553710631e+00,1.048997934703426661e-14
3.482659953153494081e-02,1.151448996146017700e+00,1.217991718000114965e+00,-6.613391222252006096e-02,-5.069433751912698627e-01,2.321296800171791119e+01,2.409651827306914740e+01,1.552263386394558076e+00,2.494107604621556061e-15
3.511442266815920088e-02,1.151429963319509975e+00,1.217845861252864870e+00,-6.611971463742409572e-02,-5.065731538452776794e-01,2.319531870455769962e+01,2.407889403252080029e+01,1.551973749895153354e+00,7.087180940864377720e-15
3.540224580478345401e-02,1.151410934577313583e+00,1.217700111028171106e+00,-6.610553150348763563e-02,-5.062031806262186073e-01,2.317767919841885416e+01,2.406127955699104248e+01,1.551684336901125949e+00,2.158056543701618764e-14
